Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Kerala,840.71,69,Large,2021-09-21,1,Milk,Sudha,785.16,78.61,61721.427599999995,2,Polythene Packet,2021-09-06,2021-09-08,90,74.1,6669.0,Telangana,Wholesale,695,60.77,42.52
Rajasthan,392.26,59,Large,2021-01-08,8,Buttermilk,Raj,649.7,83.26,54094.022000000004,13,Refrigerated,2020-11-12,2020-11-25,563,80.35,45237.05,Madhya Pradesh,Retail,86,22.78,184.88
Uttar Pradesh,480.49,88,Small,2020-09-22,5,Ice Cream,Amul,790.85,48.88,38656.748,28,Frozen,2020-09-19,2020-10-17,722,50.89,36742.58,Haryana,Retail,68,67.3,47.61
Bihar,258.0,58,Large,2020-04-20,7,Lassi,Amul,913.82,73.51,67174.9082,16,Refrigerated,2020-02-22,2020-03-09,323,71.89,23220.47,Gujarat,Wholesale,590,94.16,142.36
Kerala,203.31,25,Small,2020-09-13,2,Butter,Amul,435.51,38.94,16958.7594,35,Refrigerated,2020-08-24,2020-09-28,21,41.71,875.91,Bihar,Retail,414,49.62,115.79
Maharashtra,802.17,42,Medium,2019-08-06,5,Ice Cream,Palle2patnam,232.16,96.98,22514.876800000002,21,Frozen,2019-06-25,2019-07-16,196,92.9,18208.4,Delhi,Online,36,10.32,111.56
Madhya Pradesh,318.91,78,Small,2020-05-22,1,Milk,Sudha,495.25,96.69,47885.722499999996,21,Tetra Pack,2020-04-21,2020-05-12,411,95.54,39266.94,Tamil Nadu,Wholesale,84,74.82,189.27
Chandigarh,71.14,19,Small,2019-09-14,9,Paneer,Raj,430.59,38.41,16538.9619,8,Refrigerated,2019-07-19,2019-07-27,250,43.39,10847.5,Maharashtra,Wholesale,180,34.15,23.9
Madhya Pradesh,645.66,77,Large,2019-04-12,7,Lassi,Sudha,326.85,74.26,24271.881000000005,13,Refrigerated,2019-03-28,2019-04-10,310,79.11,24524.1,Haryana,Online,16,90.97,59.27
Delhi,71.14,84,Large,2022-07-01,1,Milk,Amul,949.82,83.9,79689.89800000002,24,Tetra Pack,2022-05-19,2022-06-12,622,81.86,50916.92,Bihar,Online,327,41.13,156.97
Rajasthan,66.93,49,Large,2020-04-16,10,Ghee,Raj,508.72,13.93,7086.4696,131,Ambient,2020-03-24,2020-08-02,237,12.61,2988.57,Haryana,Wholesale,271,37.34,128.2
Karnataka,998.99,31,Medium,2022-07-04,4,Yogurt,Mother Dairy,669.74,40.05,26823.087,24,Frozen,2022-05-07,2022-05-31,255,40.1,10225.5,West Bengal,Retail,414,33.29,173.94
Madhya Pradesh,573.12,73,Medium,2022-12-23,1,Milk,Amul,306.48,97.59,29909.383200000004,2,Polythene Packet,2022-10-31,2022-11-02,29,93.23,2703.67,West Bengal,Retail,277,44.21,107.88
Bihar,864.12,56,Medium,2022-11-25,10,Ghee,Sudha,730.2,61.56,44951.112,141,Ambient,2022-11-18,2023-04-08,11,64.27,706.97,Maharashtra,Retail,719,67.78,105.62
Chandigarh,464.68,47,Large,2022-07-23,7,Lassi,Sudha,487.46,58.35,28443.291,17,Refrigerated,2022-05-26,2022-06-12,414,61.26,25361.64,Jharkhand,Online,73,42.39,149.78
Karnataka,632.87,25,Medium,2021-03-11,4,Yogurt,Mother Dairy,692.74,68.86,47702.0764,21,Refrigerated,2021-02-24,2021-03-17,22,68.86,1514.92,Kerala,Wholesale,670,63.08,119.33
Maharashtra,118.73,36,Small,2020-11-11,6,Curd,Sudha,66.32,72.19,4787.640799999999,5,Refrigerated,2020-09-24,2020-09-29,65,73.59,4783.35,Chandigarh,Retail,1,90.3,72.17
Delhi,40.63,68,Small,2020-03-11,4,Yogurt,Palle2patnam,446.4,88.47,39493.007999999994,22,Frozen,2020-01-27,2020-02-18,269,85.06,22881.14,Chandigarh,Wholesale,177,97.73,100.03
Chandigarh,297.44,76,Small,2021-06-07,7,Lassi,Sudha,184.92,47.36,8757.8112,16,Refrigerated,2021-04-11,2021-04-27,153,48.72,7454.16,Gujarat,Online,31,15.6,180.52
Jharkhand,327.68,42,Medium,2021-07-06,1,Milk,Raj,754.71,47.13,35569.4823,1,Polythene Packet,2021-06-11,2021-06-12,462,49.07,22670.34,Telangana,Online,292,77.78,96.38
Uttar Pradesh,704.9,100,Large,2021-11-08,9,Paneer,Mother Dairy,410.84,65.14,26762.117599999998,11,Refrigerated,2021-10-18,2021-10-29,226,62.44,14111.44,Chandigarh,Wholesale,184,77.65,107.81
Telangana,318.12,28,Small,2019-03-26,3,Cheese,Amul,115.3,10.41,1200.273,43,Refrigerated,2019-02-22,2019-04-06,82,6.77,555.14,Chandigarh,Retail,33,30.32,176.3
Maharashtra,298.06,12,Medium,2020-04-14,2,Butter,Parag Milk Foods,849.92,38.59,32798.4128,37,Refrigerated,2020-03-12,2020-04-18,256,40.09,10263.04,Tamil Nadu,Online,593,36.62,85.87
Rajasthan,500.67,19,Medium,2019-09-12,7,Lassi,Raj,814.38,40.88,33291.854400000004,15,Refrigerated,2019-07-14,2019-07-29,481,40.55,19504.55,Chandigarh,Retail,333,65.01,53.95
Haryana,527.23,67,Small,2020-03-07,6,Curd,Sudha,499.31,16.06,8018.918599999999,6,Refrigerated,2020-03-05,2020-03-11,15,15.67,235.05,Chandigarh,Retail,484,81.45,100.71
West Bengal,922.3,83,Large,2020-01-04,6,Curd,Amul,194.04,73.31,14225.0724,6,Refrigerated,2019-11-15,2019-11-21,44,72.28,3180.32,Rajasthan,Wholesale,150,84.29,112.44
Maharashtra,197.23,30,Small,2022-07-04,9,Paneer,Mother Dairy,300.62,38.78,11658.0436,12,Refrigerated,2022-06-23,2022-07-05,60,35.63,2137.8,West Bengal,Online,240,50.29,94.68
Gujarat,443.51,32,Medium,2020-06-21,10,Ghee,Sudha,234.57,68.52,16072.736399999998,117,Ambient,2020-05-28,2020-09-22,112,64.53,7227.36,Uttar Pradesh,Wholesale,122,12.8,60.75
Uttar Pradesh,142.89,86,Medium,2022-07-18,5,Ice Cream,Palle2patnam,204.1,93.05,18991.504999999997,23,Frozen,2022-06-14,2022-07-07,98,94.33,9244.34,Madhya Pradesh,Wholesale,106,29.77,25.36
Madhya Pradesh,535.39,60,Large,2021-07-17,8,Buttermilk,Amul,31.09,26.77,832.2793,13,Refrigerated,2021-07-13,2021-07-26,30,31.06,931.8,Haryana,Wholesale,1,26.46,161.3
Chandigarh,677.91,91,Small,2019-02-15,4,Yogurt,Dodla Dairy,370.74,30.34,11248.2516,24,Refrigerated,2019-01-11,2019-02-04,121,26.77,3239.17,Chandigarh,Wholesale,249,18.33,101.73
Bihar,696.15,63,Large,2021-03-02,10,Ghee,Sudha,442.2,48.8,21579.359999999997,66,Ambient,2021-01-04,2021-03-11,301,47.99,14444.99,Karnataka,Retail,141,66.86,150.0
Uttar Pradesh,555.53,16,Large,2020-08-06,10,Ghee,Mother Dairy,187.79,15.19,2852.5301,85,Ambient,2020-07-12,2020-10-05,8,17.12,136.96,Gujarat,Retail,179,84.5,106.45
Gujarat,865.05,70,Large,2020-07-24,10,Ghee,Raj,270.21,96.31,26023.9251,81,Ambient,2020-07-15,2020-10-04,217,91.62,19881.54,Madhya Pradesh,Retail,53,69.98,183.24
Haryana,972.97,70,Large,2020-10-28,9,Paneer,Mother Dairy,788.45,19.2,15138.24,7,Refrigerated,2020-08-30,2020-09-06,134,23.81,3190.54,West Bengal,Retail,654,92.11,119.48
Jharkhand,209.76,10,Small,2019-06-25,7,Lassi,Mother Dairy,456.81,81.7,37321.377,13,Refrigerated,2019-06-01,2019-06-14,117,79.79,9335.43,Telangana,Retail,339,58.28,35.9
Gujarat,531.67,66,Small,2020-10-25,7,Lassi,Raj,594.21,66.31,39402.06510000001,17,Refrigerated,2020-09-28,2020-10-15,136,62.03,8436.08,Maharashtra,Online,458,69.8,28.27
Gujarat,441.18,22,Small,2020-08-16,7,Lassi,Amul,665.07,31.25,20783.4375,18,Refrigerated,2020-06-21,2020-07-09,44,35.03,1541.32,Delhi,Online,621,12.82,108.62
Jharkhand,703.32,81,Medium,2020-09-13,3,Cheese,Britannia Industries,724.92,40.48,29344.761599999994,46,Frozen,2020-09-01,2020-10-17,695,44.37,30837.15,Delhi,Online,29,98.36,154.86
Tamil Nadu,235.32,10,Large,2020-09-26,9,Paneer,Raj,829.83,32.64,27085.6512,8,Refrigerated,2020-09-06,2020-09-14,651,29.6,19269.6,Maharashtra,Online,178,37.02,52.82
Gujarat,636.91,16,Small,2022-10-11,2,Butter,Parag Milk Foods,436.35,98.08,42797.208,26,Frozen,2022-09-23,2022-10-19,133,100.43,13357.19,Delhi,Retail,303,82.62,193.98
Karnataka,313.91,62,Small,2020-11-08,2,Butter,Mother Dairy,199.89,37.8,7555.841999999999,29,Frozen,2020-10-07,2020-11-05,193,33.52,6469.36,Haryana,Retail,6,36.83,67.96
Rajasthan,340.18,90,Medium,2021-03-20,3,Cheese,Britannia Industries,159.33,77.72,12383.127600000002,81,Frozen,2021-03-06,2021-05-26,144,82.38,11862.72,West Bengal,Online,15,56.54,76.45
Chandigarh,542.09,46,Medium,2020-08-05,8,Buttermilk,Amul,103.55,81.44,8433.112,10,Refrigerated,2020-08-04,2020-08-14,17,78.16,1328.72,Jharkhand,Wholesale,86,64.89,151.64
Jharkhand,139.05,61,Small,2021-02-26,10,Ghee,Raj,938.27,68.21,63999.39669999999,109,Ambient,2021-02-25,2021-06-14,419,64.82,27159.58,Delhi,Online,519,67.97,150.6
Kerala,40.71,72,Small,2022-05-22,1,Milk,Amul,605.73,89.78,54382.4394,1,Polythene Packet,2022-03-23,2022-03-24,492,94.68,46582.56,West Bengal,Wholesale,113,51.66,148.66
Jharkhand,712.58,89,Small,2022-06-23,3,Cheese,Britannia Industries,292.97,26.38,7728.5486,82,Frozen,2022-05-21,2022-08-11,132,23.63,3119.16,Delhi,Retail,160,65.82,197.4
Tamil Nadu,106.77,36,Medium,2020-01-28,4,Yogurt,Dodla Dairy,968.17,35.61,34476.5337,25,Frozen,2020-01-20,2020-02-14,842,37.29,31398.18,Maharashtra,Online,126,83.32,42.57
Maharashtra,714.59,46,Small,2022-03-27,1,Milk,Mother Dairy,912.1,95.77,87351.817,2,Polythene Packet,2022-02-22,2022-02-24,148,94.95,14052.6,Delhi,Online,764,47.65,105.42
Maharashtra,284.93,75,Small,2019-10-22,9,Paneer,Raj,739.64,19.47,14400.790799999999,14,Refrigerated,2019-10-06,2019-10-20,239,15.74,3761.86,Telangana,Online,500,70.71,112.03
Delhi,947.39,96,Large,2021-02-20,4,Yogurt,Palle2patnam,820.1,51.68,42382.768000000004,24,Frozen,2020-12-25,2021-01-18,385,50.05,19269.25,Bihar,Retail,435,62.57,108.02
West Bengal,285.95,20,Large,2019-07-17,7,Lassi,Amul,773.61,67.65,52334.7165,13,Refrigerated,2019-07-04,2019-07-17,597,67.5,40297.5,Maharashtra,Wholesale,176,97.77,118.32
Bihar,403.55,85,Small,2020-05-26,3,Cheese,Britannia Industries,655.72,14.42,9455.4824,26,Refrigerated,2020-05-05,2020-05-31,329,11.6,3816.4,Kerala,Online,326,27.59,90.87
Maharashtra,858.57,30,Large,2019-09-05,1,Milk,Mother Dairy,909.03,84.61,76913.02829999999,30,Tetra Pack,2019-09-03,2019-10-03,443,85.52,37885.36,Bihar,Wholesale,466,61.92,80.24
West Bengal,390.31,54,Small,2021-09-02,3,Cheese,Britannia Industries,829.91,28.02,23254.0782,55,Frozen,2021-07-26,2021-09-19,757,32.36,24496.52,Maharashtra,Retail,72,84.27,70.29
Delhi,864.46,30,Large,2020-03-22,6,Curd,Mother Dairy,224.6,95.23,21388.658,6,Refrigerated,2020-02-10,2020-02-16,19,91.61,1740.59,Tamil Nadu,Online,205,15.95,82.19
Telangana,735.46,56,Small,2020-02-07,9,Paneer,Amul,277.21,66.37,18398.4277,11,Refrigerated,2020-02-04,2020-02-15,267,70.91,18932.97,West Bengal,Retail,10,65.1,107.02
Kerala,208.65,16,Small,2019-11-21,7,Lassi,Mother Dairy,757.12,15.81,11970.067200000001,15,Refrigerated,2019-10-20,2019-11-04,177,12.38,2191.26,Chandigarh,Wholesale,580,19.44,74.84
Haryana,546.54,33,Medium,2019-01-11,1,Milk,Amul,842.01,48.67,40980.6267,23,Tetra Pack,2018-12-07,2018-12-30,668,47.24,31556.32,Chandigarh,Retail,174,40.56,121.29
Chandigarh,413.06,46,Large,2020-06-28,10,Ghee,Amul,834.79,69.97,58410.256299999994,69,Ambient,2020-06-10,2020-08-18,597,72.13,43061.61,Tamil Nadu,Wholesale,237,20.13,163.29
Uttar Pradesh,683.46,53,Medium,2019-04-25,10,Ghee,Sudha,423.59,11.53,4883.9927,150,Ambient,2019-04-01,2019-08-29,118,15.52,1831.36,Telangana,Retail,305,52.32,122.58
Jharkhand,804.26,50,Small,2019-06-17,2,Butter,Mother Dairy,502.18,49.58,24898.0844,38,Frozen,2019-06-15,2019-07-23,36,51.33,1847.88,Chandigarh,Online,466,45.49,148.01
Chandigarh,61.53,35,Small,2019-07-24,9,Paneer,Mother Dairy,202.2,75.07,15179.153999999999,13,Refrigerated,2019-06-04,2019-06-17,91,70.81,6443.71,Karnataka,Retail,111,12.2,35.18
Jharkhand,930.44,25,Large,2022-12-10,7,Lassi,Sudha,741.95,84.28,62531.546,13,Refrigerated,2022-12-09,2022-12-22,251,89.27,22406.77,Uttar Pradesh,Wholesale,490,72.39,146.73
Rajasthan,652.46,85,Medium,2020-05-05,7,Lassi,Sudha,356.66,28.8,10271.808,18,Refrigerated,2020-05-04,2020-05-22,32,28.92,925.44,Telangana,Retail,324,85.77,186.02
Chandigarh,470.5,17,Small,2021-08-15,1,Milk,Raj,247.12,35.67,8814.770400000001,25,Tetra Pack,2021-07-25,2021-08-19,204,34.58,7054.32,Kerala,Online,43,56.69,89.35
Chandigarh,529.28,13,Large,2019-06-13,9,Paneer,Raj,487.52,62.35,30396.872,7,Refrigerated,2019-06-09,2019-06-16,297,66.67,19800.99,Delhi,Wholesale,190,82.44,110.18
Delhi,737.53,76,Medium,2022-05-08,9,Paneer,Sudha,607.04,55.17,33490.3968,14,Refrigerated,2022-04-07,2022-04-21,367,50.53,18544.51,Delhi,Retail,240,50.72,188.17
Madhya Pradesh,225.74,79,Medium,2021-03-19,4,Yogurt,Dodla Dairy,70.27,35.14,2469.2878,24,Refrigerated,2021-02-23,2021-03-19,38,37.2,1413.6,Bihar,Retail,32,43.18,170.33
Rajasthan,838.28,68,Medium,2019-11-08,2,Butter,Amul,776.61,89.92,69832.7712,27,Refrigerated,2019-10-12,2019-11-08,723,86.16,62293.68,Jharkhand,Wholesale,53,43.77,163.23
Gujarat,111.43,76,Large,2019-05-10,9,Paneer,Mother Dairy,614.13,32.9,20204.877,13,Refrigerated,2019-05-04,2019-05-17,153,32.96,5042.88,Maharashtra,Retail,461,33.1,173.23
Madhya Pradesh,637.37,32,Large,2019-11-23,3,Cheese,Dynamix Dairies,247.81,30.91,7659.8071,38,Frozen,2019-11-17,2019-12-25,107,35.52,3800.64,Kerala,Wholesale,140,44.02,158.88
Madhya Pradesh,792.38,85,Medium,2020-07-24,2,Butter,Mother Dairy,30.64,61.14,1873.3296,27,Refrigerated,2020-07-21,2020-08-17,18,56.29,1013.22,Rajasthan,Wholesale,12,82.35,159.37
Jharkhand,876.97,34,Large,2021-12-16,1,Milk,Mother Dairy,601.93,33.02,19875.7286,2,Polythene Packet,2021-11-30,2021-12-02,386,31.53,12170.58,Chandigarh,Online,215,16.4,40.17
Tamil Nadu,977.86,46,Medium,2021-09-22,4,Yogurt,Amul,469.32,31.56,14811.7392,23,Frozen,2021-09-17,2021-10-10,192,35.18,6754.56,Maharashtra,Online,277,38.25,61.67
Haryana,837.04,21,Medium,2022-05-28,8,Buttermilk,Amul,419.23,72.24,30285.175199999998,13,Refrigerated,2022-05-07,2022-05-20,176,71.71,12620.96,Maharashtra,Online,243,42.53,82.2
Tamil Nadu,862.12,91,Small,2020-05-25,10,Ghee,Raj,886.48,53.46,47391.2208,61,Ambient,2020-03-30,2020-05-30,192,56.15,10780.8,Maharashtra,Retail,694,96.37,188.55
West Bengal,892.71,81,Large,2021-10-25,5,Ice Cream,Mother Dairy,928.57,49.56,46019.929200000006,28,Frozen,2021-10-11,2021-11-08,778,53.39,41537.42,Delhi,Retail,150,92.41,83.7
Tamil Nadu,358.09,59,Large,2022-06-14,2,Butter,Warana,686.59,90.54,62163.85860000001,34,Refrigerated,2022-06-06,2022-07-10,166,94.52,15690.32,Maharashtra,Online,520,65.03,166.89
Gujarat,965.65,11,Small,2019-07-20,3,Cheese,Dynamix Dairies,34.5,91.1,3142.95,27,Frozen,2019-07-16,2019-08-12,14,88.63,1240.82,Delhi,Retail,20,15.37,137.63
Chandigarh,176.93,37,Small,2019-02-26,6,Curd,Amul,127.22,56.68,7210.8296,7,Refrigerated,2019-01-17,2019-01-24,55,52.47,2885.85,Rajasthan,Retail,72,39.64,73.4
West Bengal,424.58,67,Large,2020-11-15,8,Buttermilk,Sudha,419.67,24.6,10323.882000000001,12,Refrigerated,2020-10-17,2020-10-29,86,27.42,2358.12,Rajasthan,Retail,333,55.37,78.69
Telangana,390.48,97,Large,2019-07-14,3,Cheese,Dynamix Dairies,373.35,14.08,5256.768,44,Refrigerated,2019-06-12,2019-07-26,229,13.35,3057.15,Delhi,Wholesale,144,25.01,171.47
Haryana,23.24,31,Large,2022-10-18,7,Lassi,Raj,763.48,12.08,9222.8384,18,Refrigerated,2022-09-23,2022-10-11,565,11.53,6514.45,Delhi,Retail,198,46.62,63.38
Gujarat,113.01,98,Medium,2020-07-17,5,Ice Cream,Dodla Dairy,909.73,12.78,11626.3494,28,Frozen,2020-05-22,2020-06-19,424,8.13,3447.12,Uttar Pradesh,Wholesale,485,40.35,126.79
Delhi,901.6,93,Small,2020-06-14,5,Ice Cream,Dodla Dairy,848.03,92.97,78841.34909999999,30,Frozen,2020-06-11,2020-07-11,441,90.81,40047.21,Bihar,Retail,407,87.6,107.27
Bihar,417.91,26,Medium,2019-05-01,2,Butter,Amul,281.3,11.45,3220.8849999999998,31,Refrigerated,2019-03-06,2019-04-06,135,16.23,2191.05,Bihar,Online,146,65.01,22.34
Maharashtra,327.17,99,Large,2022-08-25,8,Buttermilk,Amul,828.27,75.92,62882.2584,13,Refrigerated,2022-07-23,2022-08-05,634,79.85,50624.9,West Bengal,Retail,194,86.37,23.71
Jharkhand,221.6,87,Medium,2022-02-12,3,Cheese,Dynamix Dairies,282.43,14.78,4174.3153999999995,57,Frozen,2022-01-24,2022-03-22,80,11.33,906.4,Delhi,Retail,202,41.28,95.17
Chandigarh,61.82,99,Medium,2020-07-25,8,Buttermilk,Amul,940.62,22.1,20787.702,11,Refrigerated,2020-07-05,2020-07-16,906,24.66,22341.96,Rajasthan,Wholesale,34,67.06,70.24
Delhi,644.81,77,Small,2020-11-14,9,Paneer,Mother Dairy,307.33,56.54,17376.4382,7,Refrigerated,2020-09-26,2020-10-03,7,57.31,401.17,Tamil Nadu,Retail,300,23.62,23.93
Rajasthan,787.87,57,Small,2019-06-23,6,Curd,Raj,298.76,41.38,12362.6888,6,Refrigerated,2019-05-20,2019-05-26,216,43.11,9311.76,Delhi,Wholesale,82,30.78,95.37
Maharashtra,409.47,52,Small,2020-01-05,9,Paneer,Amul,245.72,97.56,23972.4432,8,Refrigerated,2019-11-08,2019-11-16,5,93.59,467.95,Gujarat,Retail,240,48.17,183.95
Maharashtra,858.3,25,Small,2020-08-05,9,Paneer,Mother Dairy,45.09,27.05,1219.6845,14,Refrigerated,2020-06-13,2020-06-27,39,28.93,1128.27,West Bengal,Retail,6,17.05,130.02
Telangana,471.64,34,Small,2022-04-11,7,Lassi,Mother Dairy,186.92,96.13,17968.619599999998,12,Refrigerated,2022-02-17,2022-03-01,45,98.16,4417.2,Chandigarh,Online,141,14.4,141.46
Madhya Pradesh,274.38,49,Medium,2022-01-03,6,Curd,Mother Dairy,328.37,84.12,27622.4844,6,Refrigerated,2021-12-01,2021-12-07,95,84.25,8003.75,Jharkhand,Retail,233,19.87,83.15
Jharkhand,14.99,58,Medium,2019-05-14,1,Milk,Sudha,475.09,98.87,46972.1483,29,Tetra Pack,2019-05-11,2019-06-09,272,102.79,27958.88,Maharashtra,Online,203,50.18,21.39
Tamil Nadu,882.37,75,Large,2019-07-23,1,Milk,Mother Dairy,723.83,28.75,20810.112500000003,2,Polythene Packet,2019-05-26,2019-05-28,191,25.47,4864.77,Jharkhand,Wholesale,532,31.38,41.66
Bihar,770.04,28,Small,2020-01-14,3,Cheese,Dynamix Dairies,43.17,65.72,2837.1324,60,Refrigerated,2020-01-09,2020-03-09,42,70.57,2963.94,Gujarat,Wholesale,1,37.29,44.03
Chandigarh,690.79,92,Small,2022-03-13,8,Buttermilk,Amul,462.95,41.91,19402.2345,9,Refrigerated,2022-01-24,2022-02-02,223,46.35,10336.05,Karnataka,Wholesale,239,83.03,112.46
Tamil Nadu,598.84,80,Small,2020-02-14,3,Cheese,Passion Cheese,498.23,60.45,30118.003500000003,75,Frozen,2020-01-19,2020-04-03,225,57.28,12888.0,Jharkhand,Online,273,84.4,95.54
Uttar Pradesh,941.69,45,Large,2022-11-18,4,Yogurt,Palle2patnam,12.3,17.98,221.15400000000002,26,Frozen,2022-10-22,2022-11-17,12,19.15,229.8,Jharkhand,Wholesale,0,43.51,98.48
Chandigarh,884.92,45,Large,2019-04-21,10,Ghee,Raj,75.67,28.05,2122.5435,130,Ambient,2019-03-26,2019-08-03,38,32.46,1233.48,Delhi,Wholesale,37,15.09,146.4
Uttar Pradesh,696.99,91,Large,2019-08-26,8,Buttermilk,Raj,119.49,30.44,3637.2756,11,Refrigerated,2019-08-18,2019-08-29,6,30.35,182.1,Rajasthan,Online,113,94.21,141.36
Delhi,720.37,46,Large,2022-11-01,4,Yogurt,Palle2patnam,250.06,47.29,11825.3374,29,Refrigerated,2022-09-15,2022-10-14,98,44.74,4384.52,Telangana,Wholesale,152,28.81,183.67
Delhi,46.11,87,Small,2020-11-16,4,Yogurt,Palle2patnam,10.4,48.2,501.28000000000003,27,Refrigerated,2020-10-30,2020-11-26,9,46.68,420.12,Chandigarh,Wholesale,1,54.97,106.19
Madhya Pradesh,908.45,73,Small,2019-05-11,3,Cheese,Britannia Industries,103.28,13.07,1349.8696,25,Refrigerated,2019-04-08,2019-05-03,51,16.27,829.77,Bihar,Online,52,46.47,173.77
Gujarat,286.73,12,Small,2019-04-04,3,Cheese,Passion Cheese,442.02,84.63,37408.152599999994,66,Frozen,2019-03-30,2019-06-04,438,86.46,37869.48,Delhi,Wholesale,4,16.42,85.23
Bihar,76.74,13,Large,2021-02-17,4,Yogurt,Amul,602.96,46.83,28236.6168,25,Frozen,2021-02-13,2021-03-10,257,45.9,11796.3,West Bengal,Wholesale,345,77.59,88.45
Jharkhand,321.55,16,Small,2020-01-05,8,Buttermilk,Raj,540.0,43.79,23646.6,9,Refrigerated,2019-12-20,2019-12-29,290,43.17,12519.3,Kerala,Retail,250,14.41,32.21
Haryana,359.04,60,Medium,2020-06-19,1,Milk,Raj,479.73,32.19,15442.5087,2,Polythene Packet,2020-04-28,2020-04-30,449,28.55,12818.95,Haryana,Wholesale,30,23.48,173.97
Haryana,734.1,54,Large,2019-04-17,10,Ghee,Mother Dairy,243.39,65.45,15929.8755,95,Ambient,2019-03-09,2019-06-12,152,60.82,9244.64,Kerala,Retail,91,82.89,135.17
Bihar,221.62,37,Medium,2021-05-19,10,Ghee,Raj,625.81,84.23,52711.976299999995,150,Ambient,2021-05-08,2021-10-05,290,80.4,23316.0,Jharkhand,Online,335,90.52,131.08
Chandigarh,500.03,54,Medium,2019-01-07,7,Lassi,Raj,701.6,26.49,18585.384,18,Refrigerated,2018-11-09,2018-11-27,679,26.63,18081.77,Tamil Nadu,Retail,22,97.04,43.21
Telangana,707.77,17,Small,2019-07-12,4,Yogurt,Palle2patnam,152.88,34.56,5283.5328,21,Frozen,2019-05-26,2019-06-16,95,36.77,3493.15,Chandigarh,Retail,57,86.69,136.08
Madhya Pradesh,410.12,74,Large,2021-11-24,8,Buttermilk,Mother Dairy,224.4,78.27,17563.788,9,Refrigerated,2021-09-28,2021-10-07,200,80.2,16040.0,Tamil Nadu,Wholesale,24,27.75,122.21
Bihar,845.6,57,Medium,2020-07-08,3,Cheese,Amul,209.17,65.15,13627.425500000001,45,Refrigerated,2020-06-09,2020-07-24,121,69.99,8468.79,Maharashtra,Retail,88,46.56,188.1
Rajasthan,611.86,11,Medium,2020-08-03,6,Curd,Amul,951.04,96.06,91356.90239999999,6,Refrigerated,2020-06-20,2020-06-26,163,96.29,15695.27,West Bengal,Retail,788,70.05,167.2
Bihar,221.46,50,Large,2022-12-20,9,Paneer,Sudha,778.25,50.2,39068.15,9,Refrigerated,2022-11-10,2022-11-19,635,47.1,29908.5,Karnataka,Online,143,22.27,161.89
Kerala,759.69,11,Large,2020-05-20,4,Yogurt,Palle2patnam,895.74,79.47,71184.4578,27,Refrigerated,2020-05-06,2020-06-02,272,82.86,22537.92,Chandigarh,Wholesale,623,35.38,44.99
Maharashtra,74.11,11,Small,2020-03-24,3,Cheese,Dynamix Dairies,786.2,60.06,47219.172000000006,82,Refrigerated,2020-03-11,2020-06-01,544,56.31,30632.64,Bihar,Online,242,16.67,80.49
Rajasthan,113.57,94,Medium,2019-02-13,9,Paneer,Raj,480.87,70.3,33805.161,9,Refrigerated,2019-01-08,2019-01-17,292,67.95,19841.4,Uttar Pradesh,Wholesale,188,61.51,145.13
Kerala,638.79,42,Large,2022-06-21,10,Ghee,Sudha,197.25,53.11,10475.9475,89,Ambient,2022-05-18,2022-08-15,132,57.82,7632.24,Tamil Nadu,Retail,65,20.77,125.64
Telangana,211.14,99,Large,2022-02-28,9,Paneer,Raj,98.19,44.05,4325.269499999999,8,Refrigerated,2022-01-29,2022-02-06,58,40.85,2369.3,Delhi,Online,40,28.87,144.09
Tamil Nadu,725.42,23,Medium,2020-12-03,5,Ice Cream,Amul,850.47,89.26,75912.9522,23,Frozen,2020-12-02,2020-12-25,659,90.65,59738.35,Jharkhand,Wholesale,191,21.76,22.55
Delhi,297.1,46,Small,2020-05-22,10,Ghee,Amul,217.19,56.6,12292.954,127,Ambient,2020-05-09,2020-09-13,193,54.87,10589.91,Chandigarh,Wholesale,24,21.65,96.28
Delhi,829.35,92,Medium,2021-12-25,4,Yogurt,Amul,447.59,36.44,16310.179599999998,27,Refrigerated,2021-10-28,2021-11-24,81,32.53,2634.93,Karnataka,Wholesale,366,24.65,124.08
Delhi,886.27,32,Small,2020-09-19,8,Buttermilk,Amul,128.53,83.55,10738.6815,9,Refrigerated,2020-08-21,2020-08-30,54,78.75,4252.5,Rajasthan,Retail,74,79.78,126.91
Maharashtra,528.27,49,Large,2021-07-19,6,Curd,Sudha,212.47,45.04,9569.648799999999,5,Refrigerated,2021-07-14,2021-07-19,149,40.22,5992.78,Karnataka,Wholesale,63,81.77,78.59
Delhi,58.81,38,Medium,2019-08-24,1,Milk,Mother Dairy,313.84,71.11,22317.162399999997,2,Polythene Packet,2019-07-11,2019-07-13,24,75.84,1820.16,Delhi,Wholesale,289,85.32,127.18
Karnataka,174.19,98,Small,2022-05-10,8,Buttermilk,Mother Dairy,505.82,83.5,42235.97,13,Refrigerated,2022-03-30,2022-04-12,142,79.59,11301.78,Jharkhand,Online,363,56.09,175.1
